id,name,overview,genre_ids,poster_path,vote_average
40424,Initial D,"Takumi’s job as a tofu delivery boy has turned him into one of the most formidable drivers around. Behind the wheel of his Eight-Six, he’s one with the road—and his life shifts into high gear when the underground street racing world takes notice. Drivers from across the region are lining up for a shot at the new guy. Takumi’s not just focused on winning—he’s out to prove he’s the best.","[16, 10759, 18]",/7C1PMnV0uMrMNcfws5J7aLNxe3Q.jpg,7.9
4629,Stargate SG-1,"The story of Stargate SG-1 begins about a year after the events of the feature film, when the United States government learns that an ancient alien device called the Stargate can access a network of such devices on a multitude of planets. SG-1 is an elite Air Force special operations team, one of more than two dozen teams from Earth who explore the galaxy and defend against alien threats such as the Goa'uld, Replicators, and the Ori.","[10765, 10759, 9648]",/dQjmI7XxI47v8IM2MUysHG0LuU2.jpg,8.3
32836,Back Streets,"The series tells the story of the family lives of the police officers working in a special team of the Istanbul Police Department's Public Security Department and their adventures on the streets of Istanbul. The team encounters different and diverse human stories during their missions. The Istanbul Police Chief Rıza Soylu (Zafer Ergin), with his years of experience and fatherhood, approaches these stories, which at times make them smile and at other times are heartbreaking, and guides the other young members of the team.","[10759, 80, 18, 10751, 9648, 35]",/mxFzuKK8yEz9KdJXb6sPlhUU07s.jpg,6.2
655,Star Trek: The Next Generation,"Follow the intergalactic adventures of Capt. Jean-Luc Picard and his loyal crew aboard the all-new USS Enterprise NCC-1701D, as they explore new worlds.","[10765, 10759, 18, 9648]",/vkLzXddgUKH5VcpnYiRzpJFrZhz.jpg,8.4
50137,RWBY,"The future-fantasy world of Remnant is filled with ravenous monsters, treacherous terrain, and more villains than you can shake a sniper-scythe at. Fortunately, Beacon Academy is training Huntsmen and Huntresses to battle the evils of the world, and Ruby, Weiss, Blake, and Yang are ready for their first day of class.","[16, 10759, 10765]",/pTLBkalS00rc9FSxgdt4bcwWdvH.jpg,7.9
44217,Vikings,"The adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.","[10759, 18, 10768]",/bQLrHIRNEkE3PdIWQrZHynQZazu.jpg,8.094
17572,Kick Buttowski: Suburban Daredevil,"Clarence Buttowski, a young boy, aspires to become the world's greatest daredevil, as he gets help from Gunther, his loyal friend and partner-in-crime.","[16, 10759, 35, 10762]",/syxcG3suyf3U00z5HOuLbZ9eozl.jpg,8.102
50,Pacific Blue,"Pacific Blue is an American crime drama series about a team of police officers with the Santa Monica Police Department who patrolled its beaches on bicycles. The show ran for five seasons on the USA Network, from March 2, 1996 to April 9, 2000, with a total of one hundred and one episodes. Often compared as ""Baywatch on bikes,"" the series enjoyed a popular run among the Network's viewers, and was popular in France, Israel, Sweden, Bulgaria, Norway, Spain, Russia, Austria, Germany, Italy, South America, Canada, Denmark, Poland, and other foreign markets.","[18, 10759, 80, 10768]",/lVyEixUIkSWSuUQ1RO4fQMXcXgB.jpg,5.4
19530,Pili,"Pili is a puppet show from Taiwan. It is made by Pili International Multimedia. The TV series started in 1985, and it still continues today. It is one of the most popular TV shows in Taiwan. Pili puppet show is performed by many kinds of puppets, some of them are cool, some are intelligent, and some are funny. Unlike traditional puppet shows, Pili puppet show uses state-of-the-art animation to help present its fighting art. The delicate design of the appearance and characteristics of each puppet has made Pili puppet show a well-known entertainment in Taiwan.","[10759, 18]",/c6CKmPSXO8omy0eHQX7TcEtz72i.jpg,7.4
58677,Recuerdo de Amor,"Recuerdo de Amor is a Philippine afternoon drama series which aired on ABS-CBN in 2001-2003. It starred Carmina Villaroel and Diether Ocampo in successful roles.

The TV Series was delayed on May 14 to May 15,2001 and ended on its original end date Worldwide on TFC series also nominated Isabel Rivas for Best Actress in a Drama Series by the PMPC in 2002 alongside Seasoned Actress Pinky De Leon who was also part of the series was also known to use fast paced TV Filmography in its 45 Min Premiere of its Pilot Episode the series was also known for getting outstanding reviews throughout its run to Filipino Customers who had The Filipino Channel Internationally because of its memorable storyline and breathtaking Visual Effects similar to a U.S Soap Opera. The series was also Pinky De Leons last TV Series as she decided to retire from TV and Film Work. The Afternoon Series was also competing with Dramas such as Pangako Sa ’Yo and GMA-7s Rival Soap Kung Mawawala Ka.","[80, 18, 10759]",,0.0
34109,Bakugan Battle Brawlers,Centers on the lives of creatures called Bakugan and the battle brawlers who possess them.,"[10759, 16, 10762, 10765]",/vptVwP1uej035bHzirMtEMSndn.jpg,8.3
4357,Mission: Impossible,"Mission: Impossible is an American television series that was created and initially produced by Bruce Geller. It chronicles the missions of a team of secret government agents known as the Impossible Missions Force. In the first season, the team is led by Dan Briggs, played by Steven Hill; Jim Phelps, played by Peter Graves, takes charge for the remaining seasons. A hallmark of the series shows Briggs or Phelps receiving his instructions on a recording that then self-destructs, followed by the theme music composed by Lalo Schifrin.

The series aired on the CBS network from September 1966 to March 1973, then returned to television for two seasons on ABC, from 1988 to 1990, retaining only Graves in the cast. It later inspired a popular series of theatrical motion pictures starring Tom Cruise, beginning in 1996.","[10759, 80, 18]",/bAnCcwe70IXHRwUgsRJT4ZlQ47o.jpg,7.6
4521,Jake and the Fatman,"Jake and the Fatman is a television crime drama starring William Conrad as prosecutor J. L. ""Fatman"" McCabe and Joe Penny as investigator Jake Styles.

The series ran on CBS for five seasons from 1987 to 1992. Diagnosis: Murder was a spin-off of this series.","[18, 80, 10759]",/3WBkepiTwgemGDZadyJTV5SmS4l.jpg,6.0
45854,Yu-Gi-Oh! Zexal,"When aspiring duelist Yuma meets Astral, a mysterious visitor from another universe, it seems like destiny. Yuma needs Astral to teach him how to duel, and Astral needs Yuma to help him regain his memories!","[16, 35, 10759, 10765, 10762]",/fA1Z8yD3d1rbNITKtZIzy5B0riM.jpg,7.2
56387,Fist of the North Star,"In the year 199X, human civilization has been all but destroyed by a nuclear holocaust.","[10759, 16, 10765, 18]",/yypGXmBPvyJiD7pOeD2R3q84FlA.jpg,8.2
1402,The Walking Dead,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,"[10759, 18, 10765]",/yTNP9UOdUbGBUZ7SSVng75IwAaY.jpg,8.1
1532,Starsky & Hutch,"Streetwise Detective David Starsky partners up with a more intellectual partner, Kenneth 'Hutch' Hutchinson, to protect citizens and patrol the streets of Bay City.","[10759, 18, 80]",/aBj5oTi1uibVcXDoCJeKseJNY2d.jpg,7.3
17610,NCIS: Los Angeles,"The exploits of the Los Angeles–based Office of Special Projects (OSP), an elite division of the Naval Criminal Investigative Service that specializes in undercover assignments.","[10759, 18, 80, 9648]",/TIIgcznwNfNr3KOZvxn26eKV99.jpg,7.5
32573,Strike Back,"The series follows John Porter, a former British Special Forces soldier, who is drafted back into service by Section 20, a fictional branch of the Secret Intelligence Service.","[18, 10759]",/c0ItaC2Grf4WVJ06G87BjNn9pRs.jpg,7.4
10083,The Fugitive,"Richard Kimble is falsely convicted of his wife's murder and given the death penalty. En route to death row, Kimble's train derails and crashes, allowing him to escape and begin a cross-country search for the real killer, a ""one-armed man"". At the same time, Dr. Kimble is hounded by the authorities, most notably dogged by Police Lieutenant Philip Gerard.","[10759, 18, 9648]",/cSvrnCMFX8OWqHSkUwERfKU7mnP.jpg,7.2
478,Captain Planet and the Planeteers,"Eco-villains beware: Captain Planet is here to save the day! With the guidance of Gaia, five Planeteers - representing Earth, Fire, Water, Wind and Heart - come together to defend our planet from environmental destruction. With their powers combined, the team becomes the solution to pollution!","[16, 10759, 10765, 10762]",/oTUdMgcSs3duIjoWBiZlgtVUNN3.jpg,6.8
7225,Merlin,"The unlikely friendship between Merlin, a young man gifted with extraordinary magical powers, and Prince Arthur, heir to the crown of Camelot.","[10759, 18, 10765]",/8eR5Jg7CxsuCOEBU5wW0opObxpi.jpg,7.8
